,Leader,Candidates,Seats,Gained,Lost,Net,% of Total,Total Votes,% of Total Votes,% Change
Conservative,Theresa May,638,317,20,33,-13,48.8,13636684,42.3,5.5
Labour,Jeremy Corbyn,631,262,36,6,30,40.3,12877918,40.0,9.6
Liberal Democrats,Tim Farron,629,12,8,4,4,1.8,2371861,7.4,-0.5
SNP,Nicola Sturgeon,59,35,0,21,-21,5.4,977568,3.0,-1.7
UKIP,Paul Nuttall,378,0,0,1,-1,0.0,594068,1.8,-10.8
Green Party of England and Wales,Caroline Lucas and Jonathan Bartley,457,1,0,0,0,0.2,525665,1.6,-2.0
DUP,Arlene Foster,17,10,2,0,2,1.5,292316,0.9,0.3
Sinn F̩in,Gerry Adams,18,7,3,0,3,1.1,238915,0.7000000000000001,0.1
Plaid Cymru,Leanne Wood,40,4,1,0,1,0.6000000000000001,164466,0.5,-0.1
Independent,,187,1,0,0,0,0.2,151471,0.5,0.2
SDLP,Colum Eastwood,18,0,0,3,-3,0.0,95419,0.30000000000000004,0.0
UUP,Robin Swann,14,0,0,2,-2,0.0,83280,0.30000000000000004,-0.1
Alliance,Naomi Long,18,0,0,0,0,0.0,64553,0.2,0.0
Speaker,John Bercow,1,1,0,0,0,0.2,34299,0.1,0.0
Yorkshire Party,Stewart Arnold,21,0,0,0,0,0.0,20958,0.1,0.1
National Health Action,Dr Alex Ashman,5,0,0,0,0,0.0,16119,0.1,-0.1
Christian Peoples Alliance,Sidney Cordle,31,0,0,0,0,0.0,5869,0.0,0.0
People Before Profit,Eamonn McCann,2,0,0,0,0,0.0,5509,0.0,0.0
Ashfield Independents,,1,0,0,0,0,0.0,4612,0.0,0.0
BNP,Adam Walker,10,0,0,0,0,0.0,4580,0.0,0.0
Monster Raving Loony,Alan Hope,12,0,0,0,0,0.0,3890,0.0,0.0
Liberal,Steve Radford,4,0,0,0,0,0.0,3672,0.0,0.0
Women's Equality,Sophie Walker,7,0,0,0,0,0.0,3580,0.0,0.0
TUV,Jim Allister,1,0,0,0,0,0.0,3282,0.0,-0.1
North East Party,Mary Cartwright,1,0,0,0,0,0.0,2355,0.0,0.0
Pirate,David A Elston,10,0,0,0,0,0.0,2321,0.0,0.0
English Democrat,Robin Tilbrook,7,0,0,0,0,0.0,1913,0.0,0.0
Christian,Jeff Green,2,0,0,0,0,0.0,1720,0.0,0.0
Independent Save Withybush Save Lives,,1,0,0,0,0,0.0,1209,0.0,0.0
Socialist Labour,Arthur Scargill,3,0,0,0,0,0.0,1154,0.0,0.0
Animal Welfare,Vanessa Hudson,4,0,0,0,0,0.0,955,0.0,0.0
Justice & Anti-Corruption,,2,0,0,0,0,0.0,842,0.0,0.0
Southampton Independents,,1,0,0,0,0,0.0,816,0.0,0.0
Workers Revolutionary,Sheila Torrance,5,0,0,0,0,0.0,771,0.0,0.0
Workers' Party,,2,0,0,0,0,0.0,708,0.0,0.0
Something New,,2,0,0,0,0,0.0,552,0.0,0.0
Demos Direct Initiative Party,,1,0,0,0,0,0.0,551,0.0,0.0
Libertarian,Adam Brown,4,0,0,0,0,0.0,524,0.0,0.0
SDP,Peter Johnson,6,0,0,0,0,0.0,469,0.0,0.0
Peace,John Morris,2,0,0,0,0,0.0,468,0.0,0.0
Friends Party,,3,0,0,0,0,0.0,435,0.0,0.0
Better for Bradford,,1,0,0,0,0,0.0,420,0.0,0.0
All other parties,,38,0,0,0,0,0.0,5447,0.0,0.0
